rank,title,subject,link
8.7,天使爱美丽,法式小清新。 ,https://movie.douban.com/subject/1292215/
9.1,一一,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
8.8,爱在黎明破晓前,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
8.8,重庆森林,寂寞没有期限。,https://movie.douban.com/subject/1291999/
8.9,幽灵公主,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/
8.8,蝙蝠侠：黑暗骑士崛起,诺兰就是保证。,https://movie.douban.com/subject/3395373/
9.0,小森林 夏秋篇,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
8.8,阳光灿烂的日子,一场华丽的意淫。,https://movie.douban.com/subject/1291875/
8.9,菊次郎的夏天,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
8.7,超能陆战队,Balalala~~~,https://movie.douban.com/subject/11026735/
9.1,完美的世界,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
9.1,无人知晓,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
8.9,爱在日落黄昏时,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
8.7,消失的爱人,年度最佳date movie。,https://movie.douban.com/subject/21318488/
8.9,借东西的小人阿莉埃蒂,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
9.0,小森林 冬春篇,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
8.9,甜蜜蜜,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
8.8,倩女幽魂,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/
8.9,侧耳倾听,少女情怀总是诗。,https://movie.douban.com/subject/1297052/
8.8,幸福终点站,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
8.8,时空恋旅人,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
8.7,驯龙高手,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
8.9,萤火之森,触不到的恋人。,https://movie.douban.com/subject/5989818/
8.9,玛丽和马克思,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
8.8,怪兽电力公司,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
9.0,教父3,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
8.9,一个叫欧维的男人决定去死,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
8.8,大鱼,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/
8.9,玩具总动员3,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
8.8,寄生虫,,https://movie.douban.com/subject/27010768/
8.7,傲慢与偏见,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
8.8,告白,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/
8.6,神偷奶爸,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
8.6,釜山行,揭露人性的丧尸题材力作。,https://movie.douban.com/subject/25986180/
9.0,未麻的部屋,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
8.8,阳光姐妹淘,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/
8.7,射雕英雄传之东成西就,百看不厌。 ,https://movie.douban.com/subject/1316510/
8.8,被解救的姜戈,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
8.7,恐怖直播,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
9.1,哪吒闹海,想你时你在闹海。,https://movie.douban.com/subject/1307315/
9.0,我是山姆,爱并不需要智商 。,https://movie.douban.com/subject/1306861/
8.7,哈利·波特与火焰杯,,https://movie.douban.com/subject/1309055/
8.7,血战钢锯岭,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/
8.7,头号玩家,写给影迷，动漫迷和游戏迷的一封情书。,https://movie.douban.com/subject/4920389/
8.9,新世界,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/
8.7,模仿游戏,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
9.0,喜宴,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
9.3,七武士,时代悲歌。,https://movie.douban.com/subject/1295399/
8.7,花样年华,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
8.8,黑客帝国3：矩阵革命,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/
8.8,头脑特工队,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
8.7,电锯惊魂,真相就在眼前。,https://movie.douban.com/subject/1417598/
8.7,三块广告牌,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/
8.5,你的名字。,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/
8.9,卢旺达饭店,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
8.8,达拉斯买家俱乐部,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
8.7,疯狂原始人,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
9.0,上帝之城,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
8.8,谍影重重3,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
8.7,九品芝麻官,,https://movie.douban.com/subject/1297518/
8.6,英雄本色,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
8.9,风之谷,动画片的圣经。,https://movie.douban.com/subject/1291585/
9.0,惊魂记,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/
8.7,心迷宫,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
8.8,纵横四海,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
8.8,海街日记,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/
8.7,岁月神偷,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
8.7,记忆碎片,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
9.2,忠犬八公物语,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/
8.8,荒蛮故事,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
8.9,爱在午夜降临前,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
8.9,绿里奇迹,天使暂时离开。,https://movie.douban.com/subject/1300374/
8.6,色，戒,假戏真情，爱欲深海,https://movie.douban.com/subject/1828115/
8.7,爆裂鼓手,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
8.7,小偷家族,我们组成了家。,https://movie.douban.com/subject/27622447/
8.6,贫民窟的百万富翁,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
8.7,无敌破坏王,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
8.6,真爱至上,爱，是个动词。,https://movie.douban.com/subject/1292401/
8.6,东邪西毒,电影诗。,https://movie.douban.com/subject/1292328/
8.5,疯狂的石头,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
8.6,冰川时代,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
9.1,雨中曲,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
9.5,茶馆,,https://movie.douban.com/subject/1461403/
8.9,你看起来好像很好吃,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/
8.6,黑天鹅,黑暗之美。,https://movie.douban.com/subject/1978709/
8.5,恐怖游轮,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
8.9,2001太空漫游,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://movie.douban.com/subject/1292226/
8.7,魔女宅急便,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/
8.7,雨人,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
8.6,恋恋笔记本,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
8.7,遗愿清单,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
9.3,城市之光,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/1293908/
8.9,可可西里,坚硬的信仰。,https://movie.douban.com/subject/1308857/
8.7,大佛普拉斯,人们可以登上月球，却永远无法探索人们内心的宇宙。,https://movie.douban.com/subject/27059130/
8.7,无间道2,,https://movie.douban.com/subject/1307106/
8.7,萤火虫之墓,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/
8.9,牯岭街少年杀人事件,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/
9.5,背靠背，脸对脸,,https://movie.douban.com/subject/1307856/
8.9,虎口脱险,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
8.5,源代码,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
8.7,人工智能,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
8.5,初恋这件小事,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
8.7,小丑,,https://movie.douban.com/subject/27119724/
9.0,东京教父,,https://movie.douban.com/subject/1310177/
8.6,海边的曼彻斯特,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
8.8,罗生门,人生的N种可能性。,https://movie.douban.com/subject/1291879/
8.8,终结者2：审判日,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/
8.6,青蛇,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/
8.6,波西米亚狂想曲,,https://movie.douban.com/subject/5300054/
8.6,奇迹男孩,世界不完美，爱会有奇迹。,https://movie.douban.com/subject/26787574/
8.7,二十二,有一些东西不应该被遗忘。,https://movie.douban.com/subject/26430107/
8.6,疯狂的麦克斯4：狂暴之路,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://movie.douban.com/subject/3592854/
8.7,新龙门客栈,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/
8.8,房间,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/
8.6,无耻混蛋,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
8.7,血钻,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
8.8,千钧一发,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
8.8,魂断蓝桥,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/
8.7,心灵奇旅,,https://movie.douban.com/subject/24733428/
8.8,步履不停,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/
8.7,黑客帝国2：重装上阵,一个精彩的世界观正在缓缓建立。,https://movie.douban.com/subject/1304141/
8.5,彗星来的那一夜,小成本大魅力。,https://movie.douban.com/subject/25807345/
8.6,崖上的波妞,,https://movie.douban.com/subject/1959877/
8.7,战争之王,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/
8.4,爱乐之城,,https://movie.douban.com/subject/25934014/
8.7,谍影重重2,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/
8.8,燃情岁月,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/
8.5,阿飞正传,王家卫是一种风格，张国荣是一个代表。,https://movie.douban.com/subject/1305690/
